date,^GSPC,AAPL,MSFT,GOOG,GOOGL,AMZN,NVDA,TSLA,META,BRK-B,V
2020-02-13,3373.93994140625,81.21749877929688,183.7100067138672,75.73300170898438,75.66950225830078,107.49349975585938,67.69499969482422,53.599998474121094,213.13999938964844,226.47000122070312,207.39999389648438
2020-02-14,3380.159912109375,81.23750305175781,185.35000610351562,76.03700256347656,75.9365005493164,106.74349975585938,72.44750213623047,53.33533477783203,214.17999267578125,226.8000030517578,210.2899932861328
2020-02-18,3370.2900390625,79.75,187.22999572753906,75.9834976196289,75.97200012207031,107.78350067138672,74.14250183105469,57.22666549682617,217.8000030517578,226.77000427246094,211.1999969482422
2020-02-19,3386.14990234375,80.90499877929688,187.27999877929688,76.33450317382812,76.24349975585938,108.51100158691406,78.67500305175781,61.16133117675781,217.49000549316406,229.24000549316406,213.30999755859375
2020-02-20,3373.22998046875,80.07499694824219,184.4199981689453,75.90750122070312,75.84950256347656,107.65499877929688,77.17500305175781,59.96066665649414,214.5800018310547,228.1699981689453,211.4499969482422
2020-02-21,3337.75,78.26249694824219,178.58999633789062,74.25550079345703,74.1729965209961,104.79850006103516,73.51750183105469,60.06666564941406,210.17999267578125,229.3300018310547,208.80999755859375
2020-02-24,3225.889892578125,74.54499816894531,170.88999938964844,71.07949829101562,70.99299621582031,100.4645004272461,68.31999969482422,55.58599853515625,200.72000122070312,221.69000244140625,198.7899932861328
2020-02-25,3128.2099609375,72.0199966430664,168.07000732421875,69.42250061035156,69.31600189208984,98.63700103759766,65.51249694824219,53.32733154296875,196.77000427246094,218.0500030517578,188.39999389648438
2020-02-26,3116.389892578125,73.1624984741211,170.1699981689453,69.65899658203125,69.52349853515625,98.97949981689453,66.9124984741211,51.91999816894531,197.1999969482422,216.05999755859375,187.2100067138672
2020-02-27,2978.760009765625,68.37999725341797,158.17999267578125,65.90450286865234,65.74749755859375,94.21499633789062,63.150001525878906,45.266666412353516,189.75,207.6699981689453,180.00999450683594
2020-02-28,2954.219970703125,68.33999633789062,162.00999450683594,66.96649932861328,66.9625015258789,94.1875,67.51750183105469,44.53266525268555,192.47000122070312,206.33999633789062,181.75999450683594
2020-03-02,3090.22998046875,74.70249938964844,172.7899932861328,69.45549774169922,69.31600189208984,97.69750213623047,69.10749816894531,49.574668884277344,196.44000244140625,217.6300048828125,192.3300018310547
2020-03-03,3003.3701171875,72.33000183105469,164.50999450683594,67.06950378417969,66.88600158691406,95.44950103759766,66.47250366210938,49.70066833496094,185.88999938964844,208.80999755859375,185.72999572753906
2020-03-04,3130.1201171875,75.68499755859375,170.5500030517578,69.32599639892578,69.08000183105469,98.79149627685547,71.12750244140625,49.96666717529297,191.75999450683594,217.86000061035156,194.2899932861328
2020-03-05,3023.93994140625,73.2300033569336,166.27000427246094,65.9520034790039,65.73799896240234,96.20149993896484,68.32250213623047,48.30266571044922,185.1699981689453,208.9600067138672,186.9600067138672
2020-03-06,2972.3701171875,72.25749969482422,161.57000732421875,64.92050170898438,64.78700256347656,95.05449676513672,66.51000213623047,46.89866638183594,181.08999633789062,205.97999572753906,184.36000061035156
2020-03-09,2746.56005859375,66.5425033569336,150.6199951171875,60.77799987792969,60.78950119018555,90.03050231933594,61.36000061035156,40.53333282470703,169.5,193.1300048828125,171.1300048828125
2020-03-10,2882.22998046875,71.33499908447266,160.9199981689453,64.01950073242188,63.75849914550781,94.59100341796875,65.2699966430664,43.02199935913086,178.19000244140625,202.72999572753906,182.60000610351562
2020-03-11,2741.3798828125,68.85749816894531,153.6300048828125,60.77050018310547,60.54499816894531,91.04299926757812,61.61750030517578,42.28200149536133,170.24000549316406,194.63999938964844,172.9499969482422
2020-03-12,2480.639892578125,62.057498931884766,139.05999755859375,55.74549865722656,55.57749938964844,83.83049774169922,54.07749938964844,37.369998931884766,154.47000122070312,175.97000122070312,160.0800018310547
2020-03-13,2711.02001953125,69.49250030517578,158.8300018310547,60.98649978637695,60.7135009765625,89.25,60.209999084472656,36.44133377075195,170.27999877929688,196.39999389648438,175.8300018310547
2020-03-16,2386.1298828125,60.5525016784668,135.4199981689453,54.21649932861328,53.650001525878906,84.4574966430664,49.099998474121094,29.67133331298828,146.00999450683594,177.77000427246094,152.00999450683594
2020-03-17,2529.18994140625,63.21500015258789,146.57000732421875,55.9900016784668,55.90299987792969,90.39199829101562,54.317501068115234,28.68000030517578,149.4199981689453,187.60000610351562,157.88999938964844
2020-03-18,2398.10009765625,61.66749954223633,140.39999389648438,54.84000015258789,54.55950164794922,91.5,50.70500183105469,24.08133316040039,146.9600067138672,172.44000244140625,148.47999572753906
2020-03-19,2409.389892578125,61.19499969482422,142.7100067138672,55.76449966430664,55.583499908447266,94.04650115966797,53.24250030517578,28.50933265686035,153.1300048828125,174.67999267578125,152.25
2020-03-20,2304.919921875,57.310001373291016,137.35000610351562,53.61600112915039,53.410499572753906,92.30449676513672,51.4375,28.50200080871582,149.72999572753906,170.05999755859375,146.8300018310547
2020-03-23,2237.39990234375,56.092498779296875,135.97999572753906,52.83100128173828,52.70650100708008,95.1415023803711,53.17250061035156,28.952667236328125,148.10000610351562,162.1300048828125,135.74000549316406
2020-03-24,2447.330078125,61.720001220703125,148.33999633789062,56.722999572753906,56.5004997253418,97.00499725341797,62.29499816894531,33.66666793823242,160.97999572753906,178.1999969482422,154.52999877929688
2020-03-25,2475.56005859375,61.380001068115234,146.9199981689453,55.1245002746582,55.08100128173828,94.29199981689453,61.404998779296875,35.95000076293945,156.2100067138672,180.47000122070312,161.77999877929688
2020-03-26,2630.070068359375,64.61000061035156,156.11000061035156,58.087501525878906,58.145999908447266,97.77449798583984,64.30999755859375,35.21066665649414,163.33999633789062,183.89999389648438,168.8800048828125
2020-03-27,2541.469970703125,61.935001373291016,149.6999969482422,55.535499572753906,55.51300048828125,95.00499725341797,63.182498931884766,34.29066848754883,156.7899932861328,179.66000366210938,161.55999755859375
2020-03-30,2626.64990234375,63.70249938964844,160.22999572753906,57.340999603271484,57.31549835205078,98.19750213623047,66.39749908447266,33.47533416748047,165.9499969482422,183.17999267578125,165.57000732421875
2020-03-31,2584.590087890625,63.5724983215332,157.7100067138672,58.140499114990234,58.09749984741211,97.48600006103516,65.9000015258789,34.93333435058594,166.8000030517578,182.8300018310547,161.1199951171875
2020-04-01,2470.5,60.227500915527344,152.11000061035156,55.28099822998047,55.10499954223633,95.38500213623047,60.76750183105469,32.104000091552734,159.60000610351562,175.9499969482422,153.11000061035156
2020-04-02,2526.89990234375,61.23249816894531,155.25999450683594,56.04199981689453,55.85150146484375,95.94149780273438,63.86750030517578,30.29800033569336,158.19000244140625,179.72999572753906,157.38999938964844
2020-04-03,2488.64990234375,60.352500915527344,153.8300018310547,54.89400100708008,54.6349983215332,95.32949829101562,60.977500915527344,32.000667572021484,154.17999267578125,178.33999633789062,151.85000610351562
2020-04-06,2663.679931640625,65.61750030517578,165.27000427246094,59.34600067138672,59.15950012207031,99.87950134277344,67.0999984741211,34.41600036621094,165.5500030517578,185.24000549316406,169.44000244140625
2020-04-07,2659.409912109375,64.85749816894531,163.49000549316406,59.32550048828125,59.12799835205078,100.58000183105469,64.75749969482422,36.36333465576172,168.8300018310547,185.25,168.58999633789062
2020-04-08,2749.97998046875,66.51750183105469,165.1300048828125,60.513999938964844,60.349998474121094,102.1500015258789,66.73750305175781,36.589332580566406,174.27999877929688,191.00999450683594,174.94000244140625
2020-04-09,2789.820068359375,66.99749755859375,165.13999938964844,60.5724983215332,60.32849884033203,102.13800048828125,65.73750305175781,38.20000076293945,175.19000244140625,193.83999633789062,173.69000244140625
2020-04-13,2761.6298828125,68.3125,165.50999450683594,60.87799835205078,60.52050018310547,108.44349670410156,67.4625015258789,43.39666748046875,174.7899932861328,188.77000427246094,168.99000549316406
2020-04-14,2846.06005859375,71.76249694824219,173.6999969482422,63.46149826049805,63.26150131225586,114.16600036621094,70.98750305175781,47.32600021362305,178.1699981689453,192.94000244140625,174.6199951171875
